v8-version,14,6,202,33,-node.19,0
v8-platform,macos,macos
code-deopt,460164,1504,0x1267e9f20,-1,1457,deopt-eager,</Users/mkbabb/Programming/parse-that-css-totality/typescript/node_modules/@microsoft/api-extractor/lib-commonjs/analyzer/ExportAnalyzer.js:33:9>,Insufficient type feedback for call
code-deopt,461149,1504,0x1267eb1e0,-1,1457,deopt-eager,</Users/mkbabb/Programming/parse-that-css-totality/typescript/node_modules/@microsoft/api-extractor/lib-commonjs/analyzer/SyntaxHelpers.js:33:9>,Insufficient type feedback for call
code-deopt,462228,1504,0x1267ec4a0,-1,1457,deopt-eager,</Users/mkbabb/Programming/parse-that-css-totality/typescript/node_modules/@microsoft/api-extractor/lib-commonjs/aedoc/PackageDocComment.js:33:9>,Insufficient type feedback for call
new,MemoryChunk,0x1268c0000,262144
code-deopt,463262,1504,0x1267ed080,-1,1457,deopt-eager,</Users/mkbabb/Programming/parse-that-css-totality/typescript/node_modules/@microsoft/api-extractor/lib-commonjs/analyzer/AstReferenceResolver.js:33:9>,Insufficient type feedback for call
code-deopt,464176,1504,0x1267ee340,-1,1457,deopt-eager,</Users/mkbabb/Programming/parse-that-css-totality/typescript/node_modules/@microsoft/api-extractor/lib-commonjs/generators/DtsRollupGenerator.js:33:9>,Insufficient type feedback for call
code-deopt,465391,1504,0x1267eef20,-1,1457,deopt-eager,</Users/mkbabb/Programming/parse-that-css-totality/typescript/node_modules/@microsoft/api-extractor/lib-commonjs/generators/DtsEmitHelpers.js:33:9>,Insufficient type feedback for call
new,MemoryChunk,0x9bbcb340000,262144
new,MemoryChunk,0x167f250c0000,262144
new,MemoryChunk,0x89f6bf80000,262144
code-deopt,467577,1504,0x1267f16c0,-1,1457,deopt-eager,</Users/mkbabb/Programming/parse-that-css-totality/typescript/node_modules/@microsoft/api-extractor/lib-commonjs/generators/ExcerptBuilder.js:33:9>,Insufficient type feedback for call
code-deopt,468415,1504,0x1267f2980,-1,1457,deopt-eager,</Users/mkbabb/Programming/parse-that-css-totality/typescript/node_modules/@microsoft/api-extractor/lib-commonjs/generators/DeclarationReferenceGenerator.js:33:9>,Insufficient type feedback for call
code-deopt,469308,1504,0x1267f3c40,-1,1457,deopt-eager,</Users/mkbabb/Programming/parse-that-css-totality/typescript/node_modules/@microsoft/api-extractor/lib-commonjs/generators/ApiReportGenerator.js:33:9>,Insufficient type feedback for call
new,MemoryChunk,0x3b25a2c00000,262144
new,MemoryChunk,0x35c9efc80000,262144
new,MemoryChunk,0x14eb1d2c0000,262144
new,MemoryChunk,0x14cf18e80000,262144
new,MemoryChunk,0x10ef15e40000,262144
new,MemoryChunk,0x2d0455980000,262144
new,MemoryChunk,0x2b5740100000,262144
new,MemoryChunk,0x15a0425c0000,262144
new,MemoryChunk,0x28160bc40000,262144
new,MemoryChunk,0x34bd4ff80000,262144
new,MemoryChunk,0x2a5ac83c0000,262144
new,MemoryChunk,0x68e8e000000,262144
new,MemoryChunk,0xe3b8d1c0000,262144
new,MemoryChunk,0x1801b3800000,262144
new,MemoryChunk,0x3496ff380000,262144
code-deopt,472632,1504,0x126825980,-1,1457,deopt-eager,</Users/mkbabb/Programming/parse-that-css-totality/typescript/node_modules/@microsoft/api-extractor/lib-commonjs/enhancers/DocCommentEnhancer.js:33:9>,Insufficient type feedback for call
code-deopt,473588,1504,0x126826560,-1,1457,deopt-eager,</Users/mkbabb/Programming/parse-that-css-totality/typescript/node_modules/@microsoft/api-extractor/lib-commonjs/collector/MessageRouter.js:33:9>,Insufficient type feedback for call
code-deopt,485380,3488,0x1266dcfe0,-1,40072,deopt-eager,<node:path:1270:19>,Insufficient type feedback for call
code-deopt,486948,1024,0x1268084e0,-1,3827,dependency-change,</Users/mkbabb/Programming/parse-that-css-totality/typescript/node_modules/ajv/dist/compile/codegen/code.js:133:23>,dependent prototype chain changed
new,MemoryChunk,0x126900000,180224
new,MemoryChunk,0x126940000,262144
new,MemoryChunk,0x1f4645780000,262144
new,MemoryChunk,0x1d77c2b80000,262144
code-deopt,498912,1728,0x12666a580,-1,26220,dependency-change,<node:internal/url:895:17>,dependent prototype chain changed
new,MemoryChunk,0x2229c9380000,262144
new,MemoryChunk,0x139765c80000,262144
new,MemoryChunk,0xa21df400000,262144
new,MemoryChunk,0x126980000,262144
new,MemoryChunk,0x2c61c6c80000,262144
code-deopt,508892,1376,0x12694f700,0,9484,deopt-eager,<file:///Users/mkbabb/Programming/parse-that-css-totality/typescript/node_modules/vite/dist/node/chunks/config.js:231:16> inlined at <file:///Users/mkbabb/Programming/parse-that-css-totality/typescript/node_modules/vite/dist/node/chunks/config.js:206:11>,Insufficient type feedback for generic named access
code-deopt,510225,5792,0x126978160,-1,10377,deopt-eager,<file:///Users/mkbabb/Programming/parse-that-css-totality/typescript/node_modules/vite/dist/node/chunks/config.js:273:3>,Insufficient type feedback for call
code-deopt,511370,1536,0x126980aa0,-1,30670,deopt-eager,<file:///Users/mkbabb/Programming/parse-that-css-totality/typescript/node_modules/vite/dist/node/chunks/config.js:893:53>,Insufficient type feedback for generic named access
code-deopt,511395,608,0x12697eae0,0,24178,deopt-eager,<file:///Users/mkbabb/Programming/parse-that-css-totality/typescript/node_modules/vite/dist/node/chunks/config.js:704:21> inlined at <file:///Users/mkbabb/Programming/parse-that-css-totality/typescript/node_modules/vite/dist/node/chunks/config.js:707:16>,unexpected name in keyed access
code-deopt,511416,544,0x126980880,-1,24178,deopt-eager,<file:///Users/mkbabb/Programming/parse-that-css-totality/typescript/node_modules/vite/dist/node/chunks/config.js:704:21>,unexpected name in keyed access
code-deopt,511426,1440,0x12697e540,-1,28466,deopt-eager,<file:///Users/mkbabb/Programming/parse-that-css-totality/typescript/node_modules/vite/dist/node/chunks/config.js:832:30>,Insufficient type feedback for generic keyed access
code-deopt,511443,4992,0x1269823a0,-1,27019,deopt-eager,<file:///Users/mkbabb/Programming/parse-that-css-totality/typescript/node_modules/vite/dist/node/chunks/config.js:788:28>,Insufficient type feedback for call
new,MemoryChunk,0x1269c0000,262144
new,MemoryChunk,0x801bbc00000,262144
code-deopt,511940,4256,0x126974700,-1,11667,deopt-eager,<file:///Users/mkbabb/Programming/parse-that-css-totality/typescript/node_modules/vite/dist/node/chunks/config.js:324:3>,Insufficient type feedback for generic keyed access
new,MemoryChunk,0x10f560a40000,262144
new,MemoryChunk,0x2c7064d80000,262144
code-deopt,516111,4864,0x1269c1e00,-1,11620,deopt-eager,<file:///Users/mkbabb/Programming/parse-that-css-totality/typescript/node_modules/vite/dist/node/chunks/config.js:322:12>,wrong map
code-deopt,516198,544,0x12697d380,-1,21732,deopt-eager,<file:///Users/mkbabb/Programming/parse-that-css-totality/typescript/node_modules/vite/dist/node/chunks/config.js:634:30>,Insufficient type feedback for call
code-deopt,516231,5984,0x1269c06a0,1,27519,deopt-eager,<file:///Users/mkbabb/Programming/parse-that-css-totality/typescript/node_modules/vite/dist/node/chunks/config.js:806:21> inlined at <file:///Users/mkbabb/Programming/parse-that-css-totality/typescript/node_modules/vite/dist/node/chunks/config.js:779:15>,wrong map
code-deopt,516257,1024,0x126981d00,2,24187,deopt-eager,<file:///Users/mkbabb/Programming/parse-that-css-totality/typescript/node_modules/vite/dist/node/chunks/config.js:704:30> inlined at <file:///Users/mkbabb/Programming/parse-that-css-totality/typescript/node_modules/vite/dist/node/chunks/config.js:707:16> inlined at <file:///Users/mkbabb/Programming/parse-that-css-totality/typescript/node_modules/vite/dist/node/chunks/config.js:749:16>,unexpected name in keyed access
new,MemoryChunk,0x12216800000,262144
new,MemoryChunk,0x281d17080000,262144
code-deopt,518800,2560,0x1268e55c0,-1,8181,dependency-change,<file:///Users/mkbabb/Programming/parse-that-css-totality/typescript/node_modules/vite/dist/node/chunks/config.js:185:23>,dependent property cell changed
code-deopt,518819,1984,0x1269779a0,-1,8181,dependency-change,<file:///Users/mkbabb/Programming/parse-that-css-totality/typescript/node_modules/vite/dist/node/chunks/config.js:185:23>,dependent property cell changed
code-deopt,518828,2048,0x1269757a0,-1,8536,dependency-change,<file:///Users/mkbabb/Programming/parse-that-css-totality/typescript/node_modules/vite/dist/node/chunks/config.js:199:23>,dependent property cell changed
code-deopt,518870,3360,0x126965340,-1,79770,dependency-change,<file:///Users/mkbabb/Programming/parse-that-css-totality/typescript/node_modules/rollup/dist/es/shared/parseAst.js:2066:25>,dependent property cell changed
code-deopt,518880,1600,0x126964d00,-1,58021,dependency-change,<file:///Users/mkbabb/Programming/parse-that-css-totality/typescript/node_modules/rollup/dist/es/shared/parseAst.js:1470:24>,dependent property cell changed
code-deopt,518889,896,0x126964980,-1,80330,dependency-change,<file:///Users/mkbabb/Programming/parse-that-css-totality/typescript/node_modules/rollup/dist/es/shared/parseAst.js:2082:25>,dependent property cell changed
code-deopt,518898,960,0x1269620e0,-1,79378,dependency-change,<file:///Users/mkbabb/Programming/parse-that-css-totality/typescript/node_modules/rollup/dist/es/shared/parseAst.js:2056:21>,dependent property cell changed
